CustomerAge,AccountBalance,TransactionAmount_capped,LoginAttempts,TransactionDuration,Target,Cluster
26.0,303.68,38.15,1.0,107.99999999999999,1,1
58.0,5541.57,878.22,1.0,144.0,0,0
33.0,6309.8,124.72,1.0,105.0,1,1
78.0,5133.61,302.45,1.0,40.0,2,2
47.0,9344.98,208.04,1.0,273.0,3,3
23.0,1117.97,16.055,1.0,254.0,1,1
56.0,11835.35,381.33,1.0,75.0,3,3
50.0,14401.17,16.16,1.0,123.99999999999999,3,3
18.0,1748.69,486.08000000000004,1.0,68.00000000000001,1,1
21.0,1000.46,336.39,1.0,18.0,1,1
69.0,6810.05,878.22,1.0,118.0,0,0
23.0,263.98,234.56999999999996,1.0,120.0,1,1
30.0,5442.76,16.055,1.0,246.0,1,1
80.0,2037.85,878.22,1.0,21.000000000000004,0,0
18.0,341.94,227.14,1.0,294.0,1,1
66.0,1066.59,233.74,1.0,17.0,2,2
69.0,6077.96,283.63535643170053,1.0,166.0,2,2
20.0,1659.15,45.85,1.0,91.99999999999999,1,1
77.0,2042.22,878.22,1.0,296.0,0,0
41.0,421.93,283.63535643170053,5.0,142.0,1,1
66.0,10113.66,415.5,1.0,141.0,3,3
54.0,4446.17,265.76,1.0,91.99999999999999,2,2
80.0,6452.77,69.4,1.0,113.0,2,2
35.0,2788.2,332.93,1.0,293.0,1,1
20.0,596.1599999999999,267.9,1.0,160.0,1,1
61.0,12904.66,496.03,1.0,265.0,3,3
37.0,9062.4,376.26,1.0,245.0,3,3
36.0,9009.56,83.02,1.0,171.0,3,3
20.0,1152.2,93.26,1.0,72.0,1,1
68.0,12168.37,803.3700000000001,1.0,129.0,0,0
23.0,611.8599999999999,35.76,1.0,122.0,1,1
62.0,8670.53,28.530000000000005,1.0,99.0,3,3
53.0,10098.86,139.53,1.0,177.0,3,3
33.0,5307.74,307.57,1.0,285.0,1,1
56.0,1047.28,60.65,1.0,53.00000000000001,2,2
70.0,6921.48,74.86,1.0,125.0,2,2
51.0,1475.46,283.63535643170053,1.0,137.0,2,2
34.0,112.76,231.91,1.0,165.0,1,1
75.0,5669.66,126.21,1.0,268.0,2,2
53.0,1309.95,506.2799999999999,2.0,162.0,0,0
31.0,4057.1,304.35,1.0,36.0,1,1
22.0,1585.98,281.85,1.0,109.0,1,1
31.0,6825.55,777.8800000000001,1.0,17.0,0,0
56.0,5516.5,119.18,1.0,96.0,2,2
76.0,5343.3,177.19,1.0,43.0,2,2
22.0,903.05,260.88,1.0,36.0,1,1
24.0,1806.16,169.47,1.0,18.999999999999996,1,1
26.0,787.7399999999999,73.23,1.0,14.0,1,1
29.0,2429.68,878.22,1.0,106.0,0,0
19.0,770.37,792.5700000000002,1.0,164.0,0,0
71.0,1182.77,237.06,1.0,45.99999999999999,2,2
54.0,726.55,34.17,1.0,53.99999999999999,2,2
41.0,14464.3,740.25,1.0,123.0,0,0
58.0,12046.3,453.54000000000013,1.0,82.0,3,3
73.0,7885.64,300.47,1.0,100.00000000000001,2,2
19.0,1952.3499999999997,110.92999999999999,1.0,201.0,1,1
59.0,7328.52,201.69,1.0,299.0,3,3
59.0,3210.39,399.21,1.0,109.0,2,2
78.0,5726.2,878.22,1.0,57.0,0,0
62.0,1363.65,630.36,1.0,52.00000000000001,0,0
60.0,1241.99,16.055,1.0,245.0,2,2
38.0,7873.280000000001,215.9,1.0,235.0,3,3
79.0,5674.32,878.22,1.0,165.0,0,0
49.0,9840.04,226.37,1.0,141.0,3,3
43.0,10328.23,444.89,1.0,101.0,3,3
25.0,293.24,280.57,1.0,24.0,1,1
52.0,7486.63,488.54000000000013,1.0,132.0,0,0
50.0,11385.37,16.055,1.0,131.0,3,3
69.0,7264.79,199.39,1.0,165.0,2,2
62.0,2762.48,20.36,1.0,75.0,2,2
44.67844382691544,6675.03,113.64000000000001,1.0,32.0,3,3
53.0,7432.99,493.11,1.0,236.0,0,0
19.0,1057.0,307.41,1.0,14.0,1,1
43.0,5956.89,16.055,1.0,161.0,3,3
59.0,7261.59,313.82,1.0,151.0,2,2
64.0,4943.16,51.0,1.1216216216216217,107.0,2,2
60.0,8127.4800000000005,140.98,1.0,100.00000000000001,2,2
68.0,1748.02,288.04,1.0,63.0,2,2
31.0,9660.22,800.5500000000001,1.0,107.99999999999999,0,0
46.0,6371.51,485.53999999999996,1.0,143.0,0,0
54.0,9442.47,521.15,1.0,214.0,0,0
63.0,5959.2,321.79,1.0,119.42293906810038,2,2
65.0,13531.22,304.93,1.0,158.0,3,3
40.0,11500.62,432.08,1.0,145.0,3,3
61.0,1389.37,694.2,1.0,72.0,0,0
55.0,6706.56,116.86000000000001,1.0,171.0,2,2
57.0,7175.29,283.63535643170053,1.0,149.0,2,2
25.0,420.67,74.88,1.0,202.0,1,1
75.0,7323.53,283.63535643170053,1.0,99.0,2,2
50.0,8395.85,134.7,1.1216216216216217,106.0,3,3
33.0,5140.93,878.22,1.0,161.0,0,0
63.0,7945.57,361.27,1.0,180.0,2,2
44.0,5873.54,131.56,1.0,42.00000000000001,3,3
76.0,3074.45,485.5100000000001,1.0,37.0,2,2
64.0,6155.76,547.8700000000001,1.0,131.0,0,0
28.0,8318.29,457.3,1.0,15.0,0,0
58.0,230.09,506.24000000000007,1.0,64.0,0,0
57.0,2513.56,486.59,1.0,119.0,0,0
41.0,10090.05,163.68,1.0,292.0,3,3
22.0,480.19000000000005,581.65,1.0,176.0,1,1
48.0,1120.88,52.01,1.0,85.0,1,1
21.0,370.81,630.24,1.0,61.99999999999999,0,0
43.0,13498.55,523.74,1.0,159.0,0,0
40.0,14804.7,705.6,3.0,123.99999999999999,0,0
46.0,3057.4,217.5,1.0,35.0,1,1
51.0,14942.779999999999,91.48,1.0,141.0,3,3
39.0,14143.32,16.055,1.0,49.0,3,3
56.0,6736.3,54.03,1.0,161.0,2,2
48.0,3313.07,736.7300000000001,1.0,10.0,0,0
54.0,829.7099999999999,368.91,1.0,14.0,2,2
53.0,1540.87,33.06,1.0,170.0,2,2
32.0,6820.23,66.5,1.0,144.0,1,1
35.0,13475.14,177.08,1.0,85.0,3,3
32.0,714.4499999999999,588.54,1.0,130.0,0,0
21.0,1306.91,173.5,1.0,282.0,1,1
56.0,7255.33,78.33,1.0,189.0,3,3
59.0,1153.84,40.66,1.0,156.0,2,2
77.0,6647.73,97.22,1.0,55.0,2,2
22.0,8709.77,34.07,1.0,81.0,1,1
23.0,857.9,492.05999999999995,1.0,74.0,1,1
53.0,509.45000000000005,842.01,1.0,185.0,0,0
51.0,2812.06,73.55,1.0,158.0,2,2
57.0,6179.91,760.53,1.0,118.0,0,0
44.67844382691544,6609.3,273.08,1.0,134.0,3,3
67.0,3484.32,371.69,1.0,143.0,2,2
18.0,754.21,218.95999999999998,1.0,13.0,1,1
18.0,751.09,227.38999999999996,1.0,65.0,1,1
39.0,8510.09,237.99,1.0,86.0,3,3
58.0,1508.72,186.6,1.0,13.0,2,2
18.0,511.36999999999995,341.15,1.0,148.0,1,1
59.0,12648.32,434.5799999999999,1.0,215.0,3,3
54.0,233.21,312.88,1.0,44.0,1,1
23.0,1092.92,75.15,1.0,154.0,1,1
59.0,6711.15,23.3,1.0,161.0,2,2
25.0,459.37,47.38,1.0,61.00000000000001,1,1
79.0,6994.34,512.8100000000001,1.0,30.0,2,2
43.0,7071.09,488.15,1.0,168.00000000000003,0,0
44.0,9045.19,16.055,1.0,156.0,3,3
79.0,5238.71,66.9,4.0,129.0,2,2
43.0,9642.12,535.9100000000001,1.0,22.0,0,0
26.0,6263.96,270.72,1.0,53.00000000000001,1,1
72.0,7460.329999999999,97.98,1.0,18.0,2,2
61.0,4233.82,196.08,1.0,98.0,2,2
42.0,8303.9,251.17999999999998,1.0,246.0,3,3
28.0,314.28,44.52,1.0,205.0,1,1
35.0,5241.23,178.87,1.0,180.0,1,1
54.0,323.69,878.22,5.0,174.0,2,2
46.0,6863.06,386.68,1.0,128.0,3,3
76.0,3877.7299999999996,167.14,1.0,20.0,2,2
69.0,4046.5800000000004,345.22,1.0,253.0,2,2
72.0,2409.73,74.85,1.0,117.0,2,2
58.0,5211.88,671.73,1.0,53.99999999999999,0,0
45.0,6217.86,255.04,1.0,151.99999999999997,3,3
25.0,5978.12,45.77,1.0,109.0,1,1
26.0,1671.66,329.69,1.0,66.0,1,1
58.0,8421.88,362.04,2.0,198.0,3,3
53.0,14611.9,16.055,1.0,52.00000000000001,3,3
64.0,8253.52,47.42,1.0,28.0,2,2
63.0,4489.79,35.99,1.0,129.0,2,2
37.0,11903.82,151.19,1.0,96.0,3,3
22.0,483.02000000000004,242.62000000000003,1.0,234.0,1,1
21.0,816.0799999999999,48.72,1.0,17.0,1,1
25.0,578.06,43.46,1.0,80.0,1,1
25.0,477.3,878.22,1.0,126.0,0,0
53.0,3133.85,443.7900000000001,1.0,87.0,0,0
68.0,5894.09,365.14,1.0,57.0,2,2
22.0,9532.42,757.4100000000001,1.0,37.0,0,0
51.0,5327.03,20.54,1.0,72.0,2,2
34.0,2000.6,475.36,1.0,105.0,1,1
56.0,6827.57,34.74,1.0,24.0,2,2
27.0,1633.76,689.5400000000001,1.0,93.0,0,0
73.0,4069.1699999999996,211.18,1.0,90.0,2,2
51.0,7943.469999999999,211.36,1.0,286.0,3,3
39.0,8842.47,744.41,1.0,107.0,0,0
24.0,1882.77,61.43,1.0,170.0,1,1
37.0,12526.71,167.44,1.0,82.0,3,3
21.0,4737.84,361.46,1.0,83.0,1,1
78.0,2300.53,378.85,1.0,126.0,2,2
30.0,12385.05,241.10999999999999,1.0,55.0,3,3
31.0,4547.06,131.93,1.0,13.0,1,1
36.0,2047.83,20.28,1.0,213.0,1,1
70.0,10008.33,415.88,1.0,170.0,3,3
62.0,2299.64,49.99,1.0,119.42293906810038,2,2
27.0,243.92,878.22,1.0,153.0,0,0
50.0,14473.33,100.66,1.0,144.0,3,3
19.0,1533.32,485.53999999999996,1.0,148.0,1,1
46.0,7005.05,321.15,1.0,179.0,3,3
21.0,955.4,711.3,1.0,51.00000000000001,0,0
42.0,7844.880000000001,16.055,1.0,139.0,3,3
20.0,221.56,350.94,1.0,64.0,1,1
54.0,6586.19,301.85,1.0,25.000000000000004,2,2
65.0,3944.82,29.34,1.0,30.0,2,2
27.0,1127.98,231.70999999999998,1.0,148.0,1,1
58.0,2626.63,179.43,1.0,244.0,2,2
48.0,6459.38,36.71,1.0,55.0,3,3
53.0,1649.69,138.12,1.0,281.0,2,2
33.0,6939.23,233.24,1.0,72.0,1,1
39.0,9033.87,609.14,1.0,177.0,0,0
31.0,14365.18,436.64,1.0,111.0,3,3
29.0,10115.18,870.43,1.0,55.0,0,0
74.0,7358.65,354.4,1.0,128.0,2,2
53.0,4438.03,22.63,1.0,112.0,2,2
26.0,1176.1,182.19,1.0,53.00000000000001,1,1
26.0,5427.98,126.81000000000002,1.0,290.0,1,1
37.0,3653.11,288.17,1.0,50.00000000000001,1,1
55.0,2104.82,118.77,1.0,123.0,2,2
21.0,1802.77,651.82,1.0,166.0,0,0
37.0,3559.96,66.65,1.0,33.0,1,1
69.0,3564.8,98.53,1.0,166.0,2,2
71.0,6752.92,138.95,1.0,30.0,2,2
26.0,1444.75,33.89,1.0,177.0,1,1
58.0,10788.89,23.71,1.0,164.0,3,3
55.0,2235.7,878.22,1.0,238.0,0,0
65.0,12893.63,26.06,1.0,283.0,3,3
27.0,2798.15,17.07,1.0,44.0,1,1
46.0,3583.67,703.89,1.0,61.99999999999999,0,0
47.0,2120.8,878.22,1.0,155.0,0,0
77.0,3085.38,26.55,1.0,228.0,2,2
42.0,6797.71,147.4,1.0,259.0,3,3
27.0,746.47,202.11,1.0,18.0,1,1
75.0,5427.81,308.42,1.0,39.0,2,2
53.0,7467.300000000001,16.055,1.0,144.0,3,3
38.0,6362.16,294.15,1.0,136.0,3,3
54.0,8345.26,29.580000000000002,1.0,119.42293906810038,3,3
27.0,1305.76,139.45,1.0,30.999999999999996,1,1
29.0,13648.36,432.63000000000005,1.0,137.0,0,0
43.0,1337.5,131.43,1.0,65.0,1,1
42.0,2015.6900000000003,516.72,1.0,128.0,0,0
69.0,8354.54,121.82,3.0,123.0,2,2
26.0,1671.51,374.5,1.0,178.0,1,1
68.0,11822.53,166.13,1.0,227.0,3,3
23.0,587.1099999999999,626.9,1.0,146.0,0,0
56.0,5422.53,466.85,1.0,165.0,0,0
58.0,1913.73,788.8400000000001,1.0,231.0,0,0
37.0,12139.83,873.65,1.1216216216216217,59.00000000000001,0,0
69.0,4693.6,525.2800000000001,1.0,134.0,0,0
30.0,464.2,110.17,1.0,137.0,1,1
80.0,4363.74,632.69,1.0,75.99999999999999,0,0
72.0,3319.76,124.35,1.0,90.0,2,2
62.0,4356.98,43.85,1.0,122.0,2,2
28.0,1519.35,283.81,1.0,29.000000000000004,1,1
71.0,5962.58,168.53,1.0,112.0,2,2
40.0,6699.23,218.58999999999997,1.0,123.0,3,3
21.0,822.73,132.84,1.0,143.0,1,1
42.0,13964.31,157.37,1.0,289.0,3,3
20.0,867.3199999999999,144.77,1.0,159.0,1,1
64.0,1035.86,643.2200000000001,1.0,93.0,0,0
41.0,13347.69,878.22,1.0,297.0,0,0
32.0,8478.9,208.07,1.0,36.0,3,3
57.0,11088.95,94.3,1.1216216216216217,57.0,3,3
59.0,6280.66,295.5,1.0,36.0,2,2
44.0,481.13,30.23,1.0,99.0,1,1
26.0,1122.88,112.04999999999998,1.0,159.0,1,1
58.0,8431.23,180.24,1.0,144.0,3,3
38.0,8342.79,16.055,1.0,148.0,3,3
58.0,7182.22,96.54,1.0,95.0,2,2
67.0,1692.15,79.35,1.0,70.0,2,2
27.0,1695.57,101.04,1.0,160.0,1,1
49.0,6264.21,74.42,1.0,68.00000000000001,2,2
52.0,8497.34,39.66,1.0,169.0,3,3
40.0,1272.12,99.36,1.0,45.99999999999999,1,1
56.0,3959.62,123.85,1.0,244.0,2,2
19.0,476.18999999999994,426.93,1.0,247.99999999999997,1,1
25.0,1872.2200000000003,133.73,1.0,123.0,1,1
49.0,3117.39,222.39,1.0,73.0,2,2
22.0,1841.69,215.93999999999997,1.0,140.0,1,1
80.0,7697.680000000001,16.055,5.0,283.0,2,2
29.0,7580.590000000001,826.23,1.0,209.0,0,0
35.0,7936.91,283.63535643170053,1.0,67.0,3,3
67.0,6642.33,131.46,1.0,258.0,2,2
61.0,7642.250000000001,202.86,1.0,149.0,2,2
26.0,136.74,268.39,1.0,171.0,1,1
23.0,319.84,194.85,4.0,130.0,1,1
40.0,12662.66,137.35,1.0,220.0,3,3
44.0,8126.0599999999995,712.75,1.0,25.000000000000004,0,0
42.0,705.7499999999999,353.82,1.0,143.0,1,1
44.67844382691544,5331.57,507.25,1.0,143.0,0,0
27.0,7645.469999999999,212.74,1.0,128.0,1,1
51.0,8119.73,364.42,1.0,146.0,3,3
46.0,6101.15,195.12,1.0,144.0,3,3
80.0,2561.42,230.61000000000004,1.0,204.0,2,2
58.0,11905.64,739.28,1.0,47.0,0,0
64.0,7095.88,390.35,1.0,61.00000000000001,2,2
58.0,4382.73,242.02999999999997,1.0,123.99999999999999,2,2
18.0,1328.73,242.38999999999996,1.0,271.0,1,1
23.0,1278.0,135.03,1.0,180.0,1,1
61.0,1749.79,83.5,5.0,91.0,2,2
80.0,2929.51,193.54,1.0,267.0,2,2
29.0,8926.38,617.3600000000001,1.0,61.00000000000001,0,0
59.0,5977.59,775.23,1.0,37.99999999999999,0,0
72.0,7676.92,266.57,1.0,100.00000000000001,2,2
45.0,4657.7,153.4,1.0,144.0,2,2
53.0,5579.11,878.22,1.0,251.0,0,0
34.0,3293.01,16.055,1.0,90.0,1,1
57.0,7998.25,119.11,1.0,131.0,3,3
24.0,1093.89,878.22,1.0,147.0,0,0
30.0,3435.34,119.71999999999998,1.0,123.0,1,1
58.0,344.07,107.4,1.0,32.0,2,2
53.0,3897.17,115.92000000000002,1.0,57.0,2,2
67.0,5358.95,438.03999999999996,1.0,247.0,2,2
27.0,627.79,677.29,1.0,287.0,0,0
35.0,7418.82,296.0,1.0,247.99999999999997,3,3
36.0,5615.26,299.09,1.0,84.00000000000001,1,1
24.0,1995.1799999999998,461.52,1.0,44.0,1,1
50.0,453.39,100.52,1.0,110.0,1,1
66.0,2173.76,85.35,1.0,166.0,2,2
39.0,6452.14,79.76,1.0,170.0,3,3
75.0,7713.67,778.4900000000001,1.0,107.0,0,0
42.0,5528.36,386.38,1.0,135.0,3,3
35.0,9939.94,165.25,1.0,106.0,3,3
34.0,7016.99,16.055,1.0,150.0,3,3
55.0,2661.3,232.79000000000002,1.0,145.0,2,2
60.0,9410.17,878.22,1.0,159.0,0,0
54.0,2026.3199999999997,92.29,1.1216216216216217,115.0,2,2
68.0,7371.85,293.97,1.0,153.0,2,2
19.0,264.83,136.32,1.0,113.0,1,1
36.0,10001.66,251.06000000000003,1.0,34.0,3,3
77.0,7752.140000000001,50.17,1.0,35.0,2,2
34.0,9594.11,21.4,1.0,258.0,3,3
21.0,1329.41,73.28,1.0,21.000000000000004,1,1
38.0,11624.93,70.23,1.0,260.0,3,3
22.0,168.84,689.2900000000001,1.0,100.00000000000001,0,0
28.0,160.57,745.03,1.0,231.0,0,0
58.0,7135.64,54.61000000000001,1.0,160.0,2,2
27.0,469.13999999999993,54.05,1.0,146.0,1,1
67.0,7517.499999999999,107.47,1.0,144.0,2,2
20.0,919.84,611.11,4.0,282.0,1,1
48.0,8013.63,219.62999999999997,1.0,44.0,3,3
44.67844382691544,5077.06,188.7,1.0,123.0,2,2
51.0,2791.2,93.52,1.0,97.0,2,2
62.0,1777.38,275.92,1.0,107.0,2,2
68.0,7749.14,376.79,1.0,265.0,2,2
66.0,4516.76,16.055,1.0,56.0,2,2
68.0,2016.0200000000002,697.3200000000002,1.0,91.0,0,0
18.0,1959.52,17.45,1.0,88.0,1,1
80.0,3876.61,302.16,5.0,138.0,2,2
23.0,1790.27,442.74000000000007,1.0,136.0,1,1
27.0,711.4699999999999,623.9,1.0,249.0,0,0
35.0,12154.66,445.41,3.0,235.0,3,3
26.0,1546.22,63.410000000000004,1.0,36.0,1,1
44.0,7208.15,346.85,1.0,88.0,3,3
59.0,9267.32,71.95,1.0,53.00000000000001,3,3
63.0,6485.78,16.055,1.0,36.0,2,2
65.0,3984.38,206.46,1.0,279.0,2,2
60.0,412.78,423.11,1.0,47.0,0,0
54.0,4795.65,35.84,1.0,172.0,2,2
28.0,246.57,88.6,1.0,105.0,1,1
18.0,1058.13,878.22,1.0,168.00000000000003,0,0
55.0,5113.438123505975,53.81,2.0,37.0,2,2
54.0,6631.5,22.46,1.0,78.0,2,2
21.0,1661.68,334.89,1.0,260.0,1,1
54.0,5504.01,319.27,1.0,59.00000000000001,2,2
18.0,312.19,144.3,1.0,88.0,1,1
69.0,2445.58,348.7,1.0,149.0,2,2
62.0,10862.99,366.21,1.0,181.0,3,3
55.0,5414.87,99.11,1.0,12.0,2,2
55.0,3919.4399999999996,539.3500000000001,1.0,127.0,0,0
58.0,7315.34,188.99,1.0,91.99999999999999,2,2
46.0,3740.7300000000005,878.22,1.0,58.00000000000001,0,0
26.0,465.62999999999994,710.1400000000001,1.0,227.0,0,0
53.0,9992.36,308.68,1.0,170.0,3,3
57.0,5141.19,166.68,1.0,139.0,2,2
44.67844382691544,4317.85,16.055,1.0,133.0,2,2
30.0,5326.68,505.19000000000005,5.0,128.0,1,1
23.0,1636.32,66.58,1.0,79.0,1,1
77.0,7932.410000000001,223.43000000000004,1.0,178.0,2,2
60.0,3927.6900000000005,659.95,1.0,114.0,0,0
27.0,588.4999999999999,634.8600000000001,1.0,45.0,0,0
30.0,8517.95,286.5,1.0,60.00000000000001,1,1
76.0,2401.59,322.96,1.0,168.00000000000003,2,2
19.0,6776.41,654.48,1.0,114.0,0,0
48.0,5529.92,157.97,1.0,140.0,2,2
40.0,9009.42,120.9,1.0,52.00000000000001,3,3
57.0,5994.87,254.77,1.0,57.0,2,2
65.0,5468.58,795.96,1.0,119.0,0,0
39.0,5677.52,149.25,1.0,142.0,3,3
43.0,14180.21,16.055,1.0,158.0,3,3
40.0,9895.1,68.19,1.0,189.0,3,3
39.0,2232.84,493.42,1.0,111.0,0,0
57.0,7739.54,37.57,1.0,42.00000000000001,2,2
19.0,431.16,127.0,5.0,68.00000000000001,1,1
59.0,6044.93,96.89,1.0,53.00000000000001,2,2
25.0,922.19,448.3300000000001,1.0,161.0,1,1
51.0,447.53,878.22,1.0,55.0,0,0
48.0,10778.35,16.055,1.0,273.0,3,3
41.0,5113.438123505975,65.57,1.0,82.0,2,2
46.0,2051.25,539.8100000000001,1.0,177.0,0,0
63.0,1038.91,363.53,1.0,142.0,2,2
51.0,6854.61,64.9,1.0,72.0,3,3
18.0,619.86,358.18,1.0,157.0,1,1
30.0,11320.83,167.2,1.0,84.00000000000001,3,3
60.0,14510.8,121.91000000000001,1.0,133.0,3,3
